firstname,lastname,ssn,mciid,county,dobyy,dobmm,dobdd,suffix,referralid,referraltype,dob,dt_referral
KAREN,BOWMAN,550205352.0,8732.0,6,1978.0,8.0,4.0,,U007731,CPS,1978-08-04,2019-11-10
KIMBYERLY,JOHNSON,338115482.0,29617.0,2,1961.0,1.0,16.0,,B029130,CPS,1961-01-16,2021-02-06
JESSICA,HOLMES,594576230.0,9595.0,54,2001.0,2.0,27.0,,B079022,CPS,2001-02-27,2021-08-15
JAMES,VAZQUEZ,609724185.0,76499.0,18,1989.0,11.0,27.0,,B084936,CPS,1989-11-27,2019-03-23
GREGORY,MARTINEZ,387182966.0,97259.0,64,1960.0,12.0,22.0,,B016821,CPS,1960-12-22,2018-10-13
ELIZABETH,WELCH,,40601.0,40,1961.0,1.0,15.0,,B036733,GPS,1961-01-15,2022-07-16
MARIE,GEORGE,,32720.0,22,1979.0,10.0,5.0,,B015602,GPS,1979-10-05,2020-04-09
ANAN,SMITH,627294226.0,50985.0,27,2004.0,6.0,20.0,,B028533,GPS,2004-06-20,2018-07-08
DANIE,COOPER,180849267.0,89443.0,23,1966.0,4.0,22.0,,B069769,GPS,1966-04-22,2021-11-04
RACHEL,BROWN,603532348.0,,48,1966.0,10.0,9.0,,B011405,GPS,1966-10-09,2019-11-15
DAVID,MENDOZA,824405370.0,12853.0,64,1981.0,7.0,23.0,,U011852,GPS,1981-07-23,2018-07-27
MARY,MATTHEWS,772089669.0,8280.0,54,1989.0,6.0,9.0,,B016130,CPS,1989-06-09,2020-10-26
ROBERT,SOTO,329207812.0,51270.0,15,1977.0,8.0,15.0,,B019792,GPS,1977-08-15,2019-09-15
DAVID,MILLER,444846561.0,5578.0,1,1981.0,1.0,16.0,,U004577,CPS,1981-01-16,2021-10-21
JOYCE,SMITH,853821424.0,,50,1977.0,6.0,12.0,2.0,B040163,CPS,1977-06-12,2018-02-11
ROBERT,WATSON,429847479.0,96710.0,6,1981.0,6.0,4.0,,B031776,CPS,1981-06-04,2020-12-07
PATRICIA,IRCHARDSON,920016566.0,71619.0,1,2000.0,3.0,15.0,,B025330,GPS,2000-03-15,2022-05-25
JAMES,HENDERSON,778477298.0,61034.0,27,1987.0,4.0,9.0,,B079156,CPS,1987-04-09,2019-04-21
ERIC,DAAMS,255998883.0,23630.0,44,1970.0,2.0,25.0,,B051685,CPS,1970-02-25,2022-02-15
PATRICIA,GREEN,271560266.0,,55,1993.0,9.0,20.0,,B075498,CPS,1993-09-20,2018-06-07
JAMES,MENDEZ,940425573.0,21134.0,58,1984.0,7.0,6.0,,B004727,GPS,1984-07-06,2022-05-26
WAYNE,CASTRO,914670863.0,1199.0,29,1993.0,12.0,17.0,,U000198,CPS,1993-12-17,2022-03-02
ROSS,GLORIA,189074819.0,23747.0,38,1979.0,5.0,18.0,,B035795,GPS,1979-05-18,2018-02-03
JONES,TERRY,476474148.0,27543.0,10,1996.0,4.0,16.0,,B012256,GPS,1996-04-16,2019-08-23
RODRIGUEZ,JENNIFER,327783084.0,33950.0,32,1977.0,7.0,14.0,,B035718,CPS,1977-07-14,2019-01-18
TYLE,THOMAS,120786227.0,16073.0,61,1996.0,6.0,15.0,,B070551,CPS,1996-06-15,2020-06-04
FOWLER,STEPHANIE,346392808.0,7790.0,40,1982.0,3.0,7.0,,B054374,GPS,1982-03-07,2022-05-17
BENJAMIN,MARTIN,782540620.0,,67,1964.0,10.0,27.0,,B039691,GPS,1964-10-27,2019-03-10
EUGENE,MILLER,268694866.0,9703.0,22,1973.0,3.0,2.0,,U008702,GPS,1973-03-02,2021-10-24
MARY,KELLY,495620819.0,100734.0,26,1963.0,10.0,14.0,,B073691,CPS,1963-10-14,2022-01-23
KATHRYN,BROWN,568425243.0,14071.0,52,1983.0,7.0,24.0,,U013070,CPS,1983-07-24,2020-06-13
PATRICIA,MCDONALD,,66415.0,37,2004.0,5.0,27.0,,B000575,CPS,2004-05-27,2022-05-18
RICHARD,BROWN,439179092.0,94788.0,48,2003.0,8.0,13.0,,B084610,GPS,2003-08-13,2022-10-03
KENNETH,MURPRHY,727101162.0,38284.0,37,1966.0,5.0,27.0,,B061769,GPS,1966-05-27,2021-05-09
RICHARD,HLAL,816986600.0,50591.0,50,1974.0,1.0,20.0,,B032260,GPS,1974-01-20,2018-06-09
MARK,CARROLL,268224162.0,70274.0,16,1987.0,6.0,5.0,,B082199,GPS,1987-06-05,2019-09-22
ANDREW,SPENCER,149023373.0,94894.0,27,2001.0,8.0,16.0,3.0,B036290,CPS,2001-08-16,2020-09-10
SARAH,HILL,560702396.0,,1,1983.0,11.0,14.0,,B078449,CPS,1983-11-14,2020-05-04
JOHN,TAYLOR,412391881.0,96751.0,52,1962.0,10.0,25.0,,B060055,CPS,1962-10-25,2020-07-02
MARY,ALKLEN,341554691.0,65846.0,32,2000.0,1.0,18.0,,B045948,GPS,2000-01-18,2022-01-24
JOHNSON,SUSAN,628900981.0,29488.0,47,2003.0,11.0,4.0,,B028177,CPS,2003-11-04,2019-10-18
CARLOS,GARRETT,206839446.0,98317.0,3,2000.0,10.0,22.0,1.0,B084463,GPS,2000-10-22,2019-05-06
CYNTHIA,WOOEDS,400496030.0,41044.0,6,1996.0,12.0,21.0,,B000578,GPS,1996-12-21,2019-05-11
ELIZABETH,NELSON,486645285.0,17004.0,34,1962.0,8.0,15.0,,B030959,GPS,1962-08-15,2019-09-24
CAMES,BREWER,961583950.0,26048.0,21,1985.0,11.0,21.0,,B064290,GPS,1985-11-21,2018-01-23
ELIZABETH,WILLIAMS,137247170.0,68291.0,22,1967.0,11.0,21.0,,B014531,GPS,1967-11-21,2021-08-25
SMITH,NANCY,862621813.0,85414.0,37,1979.0,8.0,10.0,,B017933,GPS,1979-08-10,2019-01-12
CARLOS,RAMIREZ,,31079.0,13,1985.0,5.0,5.0,,B033608,GPS,1985-05-05,2018-12-20
BRUCE,OJNES,254307555.0,98478.0,54,2003.0,1.0,9.0,,B049959,GPS,2003-01-09,2018-10-04
JACQUELINE,LARSON,418404158.0,68454.0,50,1965.0,1.0,4.0,,B066598,GPS,1965-01-04,2019-11-20
HEATHER,SULLIVAN,147144451.0,15090.0,43,1982.0,3.0,7.0,,U014089,GPS,1982-03-07,2020-08-03
JAMES,WDOD,808162295.0,29777.0,45,1962.0,9.0,5.0,,B034451,GPS,1962-09-05,2022-01-08
JENNIFER,BRADLEY,419491861.0,11184.0,40,2004.0,4.0,10.0,,B034080,GPS,2004-04-10,2020-06-09
FRANCES,MATTHEWS,861402247.0,9645.0,36,1989.0,10.0,26.0,,B063587,CPS,1989-10-26,2021-12-21
KELLY,WILLIAMS,658999176.0,49156.0,53,1972.0,6.0,14.0,,B004293,CPS,1972-06-14,2020-06-20
JACQUELNIE,YOUNG,637974901.0,2539.0,35,1974.0,10.0,13.0,,B069102,GPS,1974-10-13,2020-03-21
SARAH,ROMERO,453213772.0,2412.0,15,1965.0,9.0,13.0,,U001411,CPS,1965-09-13,2018-06-14
BARBARA,GEORGE,811163776.0,15477.0,34,1964.0,2.0,28.0,,U014476,CPS,1964-02-28,2018-01-20
COOPER,MARY,222637544.0,30984.0,40,1963.0,3.0,5.0,,B053929,GPS,1963-03-05,2019-10-24
JENNIFER,CARTER,809827640.0,3071.0,66,2001.0,11.0,19.0,,U002070,CPS,2001-11-19,2019-08-14
WILLIAM,GARCIA,154227969.0,46894.0,40,1973.0,1.0,9.0,,B065083,CPS,1973-01-09,2019-07-18
SUSAN,BROWN,892976114.0,24540.0,35,1998.0,10.0,19.0,,B030712,GPS,1998-10-19,2022-11-08
JONATHAN,MAPTIN,524620323.0,77422.0,67,2000.0,10.0,9.0,,B049182,CPS,2000-10-09,2022-12-14
JMAES,SCOTT,880036846.0,78988.0,33,1960.0,5.0,15.0,,B057234,CPS,1960-05-15,2018-06-19
RYA,BROWN,687330765.0,36748.0,52,1977.0,2.0,13.0,,B015663,GPS,1977-02-13,2022-02-05
SARA,JOHNSON,655739291.0,1340.0,20,1981.0,12.0,2.0,3.0,B019966,CPS,1981-12-02,2019-02-22
THOMAS,WILSON,888212266.0,7913.0,55,1962.0,6.0,2.0,,U006912,CPS,1962-06-02,2020-06-09
LAURA,FLEMING,198108133.0,7958.0,39,1979.0,10.0,1.0,3.0,U006957,GPS,1979-10-01,2019-03-04
BRITTXANY,SPENCER,413082605.0,23485.0,44,1981.0,1.0,28.0,,B081346,CPS,1981-01-28,2018-03-16
ADAM,SMBTH,572665198.0,75000.0,39,1984.0,7.0,25.0,,B055325,CPS,1984-07-25,2021-11-03
RICHARD,FISHER,,28493.0,10,1991.0,12.0,23.0,,B029857,CPS,1991-12-23,2020-04-11
FCOTT,ROBERTSON,185902977.0,79381.0,66,1960.0,6.0,17.0,,B071222,CPS,1960-06-17,2019-08-09
RAMIREZ,BILLY,575739785.0,15269.0,10,1985.0,9.0,7.0,,B052458,GPS,1985-09-07,2022-12-03
RICHARD,SANDERS,114580488.0,4346.0,60,1977.0,8.0,6.0,,U003345,GPS,1977-08-06,2018-08-03
RONALD,WILSON,445093555.0,55979.0,66,1995.0,2.0,25.0,1.0,B082363,CPS,1995-02-25,2018-03-10
PETERSON,MARIA,763401092.0,3086.0,21,1971.0,1.0,21.0,,B065349,GPS,1971-01-21,2022-08-19
NASH,LINDA,360526662.0,13283.0,49,1994.0,2.0,17.0,,B059649,CPS,1994-02-17,2021-03-13
JESSICA,WILSON,646644617.0,12706.0,25,1977.0,7.0,24.0,3.0,B044952,GPS,1977-07-24,2020-01-24
PATRICIA,HUGHES,311720474.0,38353.0,31,1975.0,10.0,12.0,,B039525,GPS,1975-10-12,2018-11-15
WEAVER,CHARLES,342911398.0,22310.0,25,1984.0,11.0,20.0,,B013935,CPS,1984-11-20,2019-11-11
JOHN,MORALES,169031931.0,9781.0,50,1980.0,11.0,13.0,,U008780,CPS,1980-11-13,2018-10-03
MARY,DUNN,669872137.0,5885.0,55,1968.0,9.0,8.0,,U004884,CPS,1968-09-08,2021-08-09
MARY,WARD,500543664.0,96391.0,9,1986.0,11.0,8.0,,B081143,GPS,1986-11-08,2021-12-16
JUDITH,THOMPSON,737326855.0,11800.0,32,1987.0,2.0,8.0,,U010799,CPS,1987-02-08,2018-01-06
ARTHUR,TAYLOR,672254570.0,5405.0,23,1989.0,7.0,25.0,,U004404,CPS,1989-07-25,2018-06-12
QDEBRA,JENKINS,584060059.0,78794.0,4,1960.0,3.0,22.0,,B055223,CPS,1960-03-22,2018-12-27
WILLIE,DNIELS,133173593.0,17367.0,22,1973.0,4.0,26.0,3.0,B073645,CPS,1973-04-26,2019-08-22
JOHN,LEWIS,235025592.0,53861.0,26,1972.0,4.0,28.0,,B066293,GPS,1972-04-28,2022-12-19
LISA,WBEB,648856183.0,34830.0,26,1964.0,11.0,27.0,,B065539,GPS,1964-11-27,2019-03-08
EMILY,THOMPSON,236837936.0,31653.0,1,1966.0,1.0,12.0,,B028110,CPS,1966-01-12,2019-02-06
STEVEN,BENNETT,892536266.0,8694.0,7,1964.0,6.0,10.0,1.0,B041928,GPS,1964-06-10,2022-02-02
CRAIG,HARRIS,392805647.0,2547.0,12,1989.0,1.0,2.0,,U001546,GPS,1989-01-02,2018-04-21
JAMES,WALKER,948373974.0,54527.0,37,1967.0,4.0,13.0,,B082585,CPS,1967-04-13,2021-06-01
NANCY,JACKSON,745132554.0,,30,1981.0,7.0,8.0,,B038603,GPS,1981-07-08,2022-01-21
ROBERT,WILLIAMS,247838979.0,7658.0,43,1962.0,1.0,20.0,,U006657,CPS,1962-01-20,2020-03-03
SANDRA,LOPEZ,148873218.0,77678.0,5,1974.0,11.0,8.0,,B062786,GPS,1974-11-08,2020-08-18
BRIAN,STEPHENS,980092510.0,22924.0,30,1980.0,4.0,5.0,,B084340,GPS,1980-04-05,2022-04-22
DONALD,HALL,231567720.0,90816.0,10,1993.0,2.0,2.0,,B039874,GPS,1993-02-02,2022-04-04
ANGEIA,HICKS,863469466.0,6823.0,31,1998.0,5.0,14.0,,B078468,GPS,1998-05-14,2018-04-28
DEBSRAH,LEE,827977762.0,35762.0,20,1996.0,9.0,1.0,,B031631,CPS,1996-09-01,2021-11-14
JENNIFER,MARTIANEZ,133251868.0,98961.0,45,1982.0,7.0,2.0,,B014952,GPS,1982-07-02,2019-04-04
HARRIS,MARY,560653524.0,82751.0,63,1985.0,3.0,18.0,,B039331,GPS,1985-03-18,2021-11-09
MARK,EWIS,244365682.0,22885.0,62,2003.0,5.0,25.0,,B048587,GPS,2003-05-25,2020-03-02
RODRIGUEZ,KAYLA,487568776.0,20206.0,3,1965.0,7.0,13.0,,B083594,GPS,1965-07-13,2018-12-02
JAMES,WSMITH,691523646.0,45871.0,39,1976.0,7.0,8.0,,B041487,CPS,1976-07-08,2021-08-22
MARN,MILLER,523083410.0,75595.0,15,1996.0,12.0,9.0,,B039627,CPS,1996-12-09,2020-11-14
JAMES,RAMOS,124935882.0,3895.0,5,1971.0,11.0,1.0,,U002894,CPS,1971-11-01,2019-04-11
DOROTHY,MSITH,442395751.0,72094.0,3,1962.0,5.0,3.0,,B026303,CPS,1962-05-03,2020-04-24
JECNIFER,MILLER,608484838.0,81141.0,41,1975.0,6.0,26.0,,B067403,CPS,1975-06-26,2020-03-12
CAROLYN,PATEL,414212086.0,14085.0,21,1985.0,9.0,13.0,,U013084,GPS,1985-09-13,2022-05-02
SARAH,JOHNSON,773483129.0,11602.0,50,1979.0,1.0,11.0,,U010601,GPS,1979-01-11,2020-04-18
SHLEY,MILLER,307791900.0,60046.0,42,1987.0,12.0,5.0,,B005019,CPS,1987-12-05,2020-03-15
TIMOTHY,SMITH,,92644.0,5,1979.0,3.0,16.0,,B005223,GPS,1979-03-16,2019-02-05
KARY,WRIGHT,363577138.0,12207.0,61,1997.0,11.0,10.0,,B015780,CPS,1997-11-10,2022-06-02
CAROL,HUYNTER,303584940.0,1536.0,65,1965.0,9.0,28.0,,B045556,CPS,1965-09-28,2020-10-24
PATRICIA,HENRY,985103209.0,,35,1984.0,10.0,20.0,,B012896,CPS,1984-10-20,2018-09-24
JOHNSON,LISA,516772839.0,60457.0,2,1974.0,12.0,8.0,,B034304,CPS,1974-12-08,2018-06-16
DANIEL,TAYLOR,162330046.0,9323.0,18,1970.0,5.0,7.0,,U008322,GPS,1970-05-07,2022-04-19
KATHERINE,BRADLEY,257159901.0,6326.0,64,1996.0,1.0,15.0,,B005324,GPS,1996-01-15,2022-01-09
JAMES,WILLIASM,329416899.0,40456.0,38,1999.0,3.0,28.0,,B052925,CPS,1999-03-28,2022-05-05
MILLER,GEORGE,628423043.0,4109.0,61,2003.0,1.0,25.0,,B062864,GPS,2003-01-25,2020-09-14
MARTHA,FOSTER,541718890.0,26732.0,3,1972.0,5.0,9.0,,B008018,GPS,1972-05-09,2019-12-23
JAMES,POTTER,654305822.0,56709.0,4,1985.0,8.0,7.0,,B082944,GPS,1985-08-07,2018-04-18
MICHAEL,WRIGHT,238857333.0,6377.0,32,1975.0,8.0,11.0,,U005376,CPS,1975-08-11,2021-07-07
SRAH,WILLIAMS,649024697.0,15369.0,53,1965.0,7.0,6.0,,B041720,CPS,1965-07-06,2020-11-26
RALPH,GARCIA,669895732.0,53845.0,47,1984.0,4.0,6.0,,B000866,CPS,1984-04-06,2019-01-01
SANDRA,GARCIA,449453389.0,14444.0,3,1982.0,5.0,14.0,,U013443,GPS,1982-05-14,2018-01-28
NELSON,MARY,374253021.0,43409.0,15,1973.0,6.0,24.0,,B083039,GPS,1973-06-24,2019-08-21
KIMBERLY,HARPER,105867320.0,28340.0,19,2001.0,12.0,10.0,,B013924,GPS,2001-12-10,2021-10-18
KEVIN,ROGERS,860348864.0,81492.0,58,1977.0,1.0,28.0,,B079892,CPS,1977-01-28,2020-11-26
JAMES,WILSON,943335498.0,20190.0,6,1999.0,3.0,10.0,,B031183,GPS,1999-03-10,2020-12-05
DANIELLE,ORTIZ,209300757.0,98402.0,14,1961.0,11.0,15.0,,B013799,CPS,1961-11-15,2018-05-09
SAMUEL,ROMERO,188297316.0,43356.0,63,1986.0,3.0,14.0,,B040988,CPS,1986-03-14,2019-10-18
JHREMY,TAYLOR,909261414.0,61574.0,50,1981.0,2.0,5.0,,B066733,CPS,1981-02-05,2020-04-07
JOAN,FLEMINNG,189979741.0,56754.0,56,2004.0,3.0,14.0,,B078330,GPS,2004-03-14,2021-12-16
JOHN,BROWN,592907114.0,25901.0,56,1966.0,2.0,17.0,,B024378,GPS,1966-02-17,2018-12-16
SILVA,THERESA,573475286.0,77808.0,14,1990.0,5.0,3.0,3.0,B023414,CPS,1990-05-03,2021-05-02
JAMES,HOWE,784308330.0,13560.0,63,1990.0,9.0,25.0,,U012559,CPS,1990-09-25,2019-04-17
SUSAN,SPENCER,595878513.0,31669.0,41,1992.0,10.0,17.0,,B022992,CPS,1992-10-17,2021-03-08
DEBORAH,JAMES,265807222.0,67685.0,58,2001.0,11.0,20.0,,B003231,GPS,2001-11-20,2019-01-05
JAMES,GERCIA,291459559.0,41394.0,52,1962.0,7.0,11.0,,B041995,CPS,1962-07-11,2020-02-12
DENISE,MILLVR,109197339.0,66367.0,20,1980.0,8.0,21.0,,B049187,CPS,1980-08-21,2021-02-26
RICHARD,HERNANDEZ,614296079.0,70085.0,65,1991.0,6.0,4.0,,B022514,CPS,1991-06-04,2021-06-10
ANTHONY,MURRAY,575835028.0,61128.0,62,1964.0,9.0,4.0,,B021325,CPS,1964-09-04,2019-02-02
KATHLEEN,GUTIERREZ,833493020.0,2234.0,42,1967.0,5.0,20.0,,U001233,GPS,1967-05-20,2021-12-15
ROBERT,WILLIAMS,404817207.0,4127.0,65,1988.0,7.0,9.0,,U003126,GPS,1988-07-09,2020-06-06
KELLEY,BRIAN,545306382.0,25787.0,24,1983.0,12.0,22.0,2.0,B029823,CPS,1983-12-22,2019-01-25
JAMES,RODRIGUEZ,844759685.0,8485.0,48,1988.0,1.0,21.0,,U007484,CPS,1988-01-21,2020-08-14
RAY,RICHARDSON,826000793.0,39884.0,14,1963.0,2.0,16.0,,B068424,GPS,1963-02-16,2018-02-28
JESSICA,GABCIA,301137895.0,16449.0,56,1985.0,4.0,17.0,,B064483,GPS,1985-04-17,2022-02-19
JAMES,WRGHT,679020747.0,25435.0,30,1973.0,2.0,25.0,,B051019,GPS,1973-02-25,2019-03-13
JAMES,GARETT,351337773.0,69635.0,50,1984.0,4.0,13.0,,B026753,CPS,1984-04-13,2019-04-10
CHEN,JONATHAN,751795781.0,14850.0,57,1971.0,12.0,6.0,,B049963,CPS,1971-12-06,2022-04-15
GARV,MORALES,404969025.0,69647.0,39,2000.0,12.0,9.0,,B042731,GPS,2000-12-09,2022-05-19
JAMES,JONES,,99159.0,15,1993.0,7.0,9.0,,B029056,GPS,1993-07-09,2018-07-16
HELEN,MARTINEZ,473129464.0,61906.0,52,1991.0,6.0,2.0,,B055317,GPS,1991-06-02,2019-11-20
JAMES,REYES,677311660.0,54531.0,63,1968.0,3.0,7.0,,B035496,CPS,1968-03-07,2020-09-07
GARCIA,STEVEN,365942962.0,93462.0,57,1974.0,8.0,23.0,,B056337,GPS,1974-08-23,2020-03-25
DEBORA,GARCIA,353076361.0,38669.0,11,1973.0,7.0,28.0,,B079277,CPS,1973-07-28,2021-09-26
THOMAS,MORALES,141765552.0,84787.0,65,1976.0,10.0,18.0,,B005464,CPS,1976-10-18,2018-09-07
JAMES,HERNANDEZ,708986061.0,92785.0,64,1993.0,2.0,20.0,,B070155,GPS,1993-02-20,2022-03-12
CHRISTINE,MITCKELL,978055988.0,45442.0,39,1998.0,11.0,22.0,,B070669,CPS,1998-11-22,2020-08-05
EMMA,VARGAS,884503250.0,4220.0,62,1990.0,2.0,21.0,,B056013,GPS,1990-02-21,2021-12-12
ELIZABETH,CROSS,991970310.0,,46,1965.0,12.0,6.0,,B012085,GPS,1965-12-06,2022-01-14
HEATHER,RUIZ,980109706.0,47931.0,9,1973.0,2.0,6.0,,B056818,GPS,1973-02-06,2018-12-14
MICHAEL,MILES,670356581.0,85701.0,26,1990.0,2.0,17.0,,B020000,GPS,1990-02-17,2019-07-11
MAYR,HERNANDEZ,578851654.0,42242.0,29,1985.0,11.0,26.0,,B069066,CPS,1985-11-26,2020-07-05
ROBERT,WILLIAMS,608009871.0,87835.0,63,1996.0,8.0,3.0,,B050452,CPS,1996-08-03,2019-08-10
ALICE,MENDOZA,420882160.0,6710.0,32,1966.0,12.0,20.0,,U005709,GPS,1966-12-20,2021-01-10
GEORGE,SANCHEZ,992621078.0,,21,1981.0,2.0,4.0,,B052884,GPS,1981-02-04,2021-06-04
SNADRA,YOUNG,182602240.0,68765.0,29,1990.0,2.0,6.0,,B030963,CPS,1990-02-06,2018-06-02
JOSEPH,TUNER,592708820.0,59678.0,46,1978.0,4.0,18.0,,B034573,CPS,1978-04-18,2018-02-14
HELEN,JACKSON,801181176.0,23472.0,49,1970.0,12.0,25.0,,B015294,GPS,1970-12-25,2020-11-22
JENNIFER,BBELL,412728704.0,6194.0,39,1965.0,6.0,9.0,,B027918,GPS,1965-06-09,2020-03-17
KAREN,SMITH,328797946.0,67677.0,39,1972.0,12.0,3.0,,B046120,GPS,1972-12-03,2021-09-07
DAVGID,MARTINEZ,411578390.0,92262.0,64,1972.0,7.0,19.0,,B035073,GPS,1972-07-19,2018-04-26
QONALD,TAYLOR,966028128.0,86312.0,20,1981.0,7.0,9.0,,B010550,CPS,1981-07-09,2021-10-27
JENNIFER,BROWN,190582967.0,7128.0,29,2004.0,9.0,19.0,,U006127,CPS,2004-09-19,2018-11-08
PKHILIP,SMITH,716765347.0,85690.0,62,1980.0,9.0,12.0,,B000690,CPS,1980-09-12,2019-05-07
PATRICK,WILLIAMS,245621790.0,95619.0,53,1983.0,8.0,14.0,1.0,B077729,CPS,1983-08-14,2020-03-19
MARY,TURKER,604150035.0,21884.0,60,1966.0,11.0,3.0,,B036096,CPS,1966-11-03,2019-04-10
CARLOS,GARZA,285736700.0,60158.0,34,1994.0,11.0,26.0,,B065351,GPS,1994-11-26,2019-10-07
MARY,WEAVER,399352641.0,,37,1963.0,1.0,10.0,,B011040,CPS,1963-01-10,2019-08-14
CAROL,GILBERBT,591900138.0,49918.0,28,1965.0,6.0,15.0,,B004221,GPS,1965-06-15,2020-08-05
SCHOTT,WILLIAMS,779887815.0,61693.0,38,1985.0,6.0,10.0,,B000821,CPS,1985-06-10,2020-10-12
IATTHEW,YOUNG,107152539.0,71786.0,64,1968.0,7.0,19.0,,B038128,CPS,1968-07-19,2021-02-27
MARY,RUIZ,522710465.0,5152.0,27,1972.0,11.0,4.0,2.0,U004151,GPS,1972-11-04,2022-02-01
LIJDA,BROWN,254945078.0,43993.0,27,1968.0,7.0,2.0,,B029231,GPS,1968-07-02,2019-12-16
KATHERINE,HENRY,273607961.0,3250.0,44,1960.0,5.0,24.0,,B050556,GPS,1960-05-24,2018-07-20
GONZALES,ROBERT,248445435.0,64328.0,38,1987.0,2.0,13.0,,B033684,GPS,1987-02-13,2022-08-06
MATTHEW,HWE,429972972.0,90584.0,55,1996.0,4.0,28.0,,B058753,CPS,1996-04-28,2020-11-26
REBECCA,SANCHEZ,905920856.0,70623.0,33,1980.0,3.0,24.0,,B027022,GPS,1980-03-24,2020-07-17
BARBARA,SMITH,558380679.0,17924.0,24,1993.0,11.0,27.0,,B036905,GPS,1993-11-27,2018-03-01
STEPHEN,TURNER,549662276.0,24407.0,51,1963.0,1.0,10.0,,B000270,CPS,1963-01-10,2021-10-27
JAMES,GONZALEZ,824093337.0,88094.0,20,1961.0,2.0,8.0,,B008866,CPS,1961-02-08,2022-11-08
MICAHEL,MILLER,964997415.0,53427.0,46,1995.0,10.0,23.0,,B015006,GPS,1995-10-23,2019-01-12
PATRICIA,MCDONLD,848264095.0,69444.0,19,2002.0,7.0,22.0,,B004688,GPS,2002-07-22,2018-07-12
ROBERCT,MENDOZA,986977285.0,1788.0,25,1984.0,7.0,17.0,,B081995,GPS,1984-07-17,2018-11-09
RYAN,BROWT,904454465.0,68560.0,38,1989.0,10.0,18.0,,B084372,CPS,1989-10-18,2021-12-20
GLORIA,SMIT,610600090.0,73961.0,41,2001.0,6.0,5.0,,B002514,CPS,2001-06-05,2021-05-25
