firstname,lastname,ssn,mciid,county,dobyy,dobmm,dobdd,suffix,referralid,referraltype,dob,dt_referral,true_entity_id,bin1,bin2
DAVID,DEAN,379783999.0,1033.0,47,1964.0,11.0,10.0,,A000032,GPS,1964-11-10,2019-11-28,32,0,1
LAURA,WILLIAMS,878175674.0,1034.0,13,1982.0,3.0,5.0,,A000033,CPS,1982-03-05,2018-08-17,33,0,1
SHIRLEY,WHITE,846760310.0,1035.0,19,1970.0,2.0,13.0,,A000034,CPS,1970-02-13,2021-12-04,34,1,1
KELLY,MORALES,680558209.0,1036.0,56,1980.0,9.0,28.0,,A000035,CPS,1980-09-28,2019-03-22,35,1,1
SUSAN,CARLSON,947397959.0,1037.0,41,1985.0,9.0,12.0,,A000036,GPS,1985-09-12,2018-02-18,36,0,0
RAYMOND,DAVIS,506373393.0,1038.0,33,1993.0,6.0,21.0,,A000037,GPS,1993-06-21,2019-05-22,37,0,0
PATRICIA,WALKER,593771985.0,1039.0,8,1962.0,3.0,4.0,,A000038,GPS,1962-03-04,2022-09-17,38,0,1
THOMAS,WHITE,755805446.0,1040.0,35,1963.0,12.0,9.0,,A000039,CPS,1963-12-09,2020-11-08,39,0,1
PATRICIA,HENRY,631961241.0,1041.0,56,1986.0,3.0,16.0,,A000040,GPS,1986-03-16,2020-02-28,40,0,1
HEATHER,HILL,387009795.0,1042.0,14,1965.0,8.0,5.0,,A000041,CPS,1965-08-05,2019-03-15,41,1,1
JACK,BURNS,714123774.0,1043.0,15,1973.0,6.0,5.0,1.0,A000042,GPS,1973-06-05,2019-11-04,42,1,1
ERIC,RODRIGUEZ,602716660.0,1044.0,18,1968.0,11.0,21.0,,A000043,GPS,1968-11-21,2022-03-28,43,1,0
DAVID,REED,132608419.0,1045.0,1,1976.0,5.0,25.0,,A000044,CPS,1976-05-25,2022-03-22,44,1,0
EMMA,ELLIOTT,833726822.0,1046.0,33,1960.0,12.0,21.0,,A000045,GPS,1960-12-21,2021-01-18,45,1,0
PAMELA,BENNETT,233651587.0,1047.0,66,1994.0,7.0,10.0,,A000046,CPS,1994-07-10,2022-07-18,46,0,0
MARIA,JONES,974751109.0,1048.0,46,1962.0,10.0,2.0,,A000047,CPS,1962-10-02,2021-06-05,47,0,1
JENNIFER,NICHOLS,892892676.0,1049.0,26,1971.0,10.0,5.0,,A000048,GPS,1971-10-05,2019-03-24,48,1,0
ELIZABETH,GREEN,388043238.0,1050.0,63,1997.0,4.0,15.0,,A000049,CPS,1997-04-15,2021-04-09,49,1,0
RUSSELL,CLARK,953329949.0,1051.0,23,1967.0,5.0,9.0,,A000050,GPS,1967-05-09,2020-08-07,50,1,0
MICHAEL,TURNER,535389476.0,1052.0,33,1966.0,5.0,5.0,2.0,A000051,CPS,1966-05-05,2021-12-25,51,0,0
JENNIFER,ANDERSON,299978137.0,1053.0,16,1963.0,3.0,7.0,,A000052,CPS,1963-03-07,2020-07-18,52,0,1
MARY,CASTRO,757685080.0,1054.0,10,1999.0,8.0,7.0,,A000053,CPS,1999-08-07,2020-03-10,53,1,1
REBECCA,CAMPBELL,544001685.0,1055.0,2,1995.0,3.0,20.0,,A000054,CPS,1995-03-20,2021-06-10,54,0,1
JAMES,MCGUIRE,235049240.0,1056.0,24,1994.0,7.0,27.0,1.0,A000055,GPS,1994-07-27,2022-02-16,55,1,1
DENISE,COX,194430870.0,1057.0,64,1987.0,2.0,2.0,,A000056,CPS,1987-02-02,2019-06-13,56,1,1
AMBER,RAMIREZ,329689347.0,1058.0,60,1989.0,1.0,3.0,,A000057,CPS,1989-01-03,2018-07-11,57,0,0
GABRIEL,ANDERSON,608966262.0,1059.0,47,1971.0,7.0,6.0,,A000058,CPS,1971-07-06,2021-11-27,58,1,0
ROBERT,ANDREWS,168317435.0,1060.0,2,1978.0,11.0,28.0,,A000059,GPS,1978-11-28,2022-01-09,59,1,1
JAMES,WILSON,187366203.0,1061.0,24,1995.0,6.0,21.0,2.0,A000060,CPS,1995-06-21,2021-12-10,60,0,0
PATRICIA,PEREZ,214016380.0,1062.0,32,2002.0,6.0,12.0,,A000061,CPS,2002-06-12,2021-12-26,61,1,1
JAMES,HUNTER,391410310.0,1063.0,44,2000.0,9.0,26.0,,A000062,GPS,2000-09-26,2021-03-19,62,0,0
BARBARA,STONE,943674281.0,1064.0,45,1990.0,11.0,19.0,,A000063,CPS,1990-11-19,2021-06-06,63,1,0
SCOTT,ROBINSON,221843678.0,1065.0,67,1977.0,12.0,25.0,,A000064,CPS,1977-12-25,2020-12-09,64,1,0
RONALD,BLACK,995269182.0,1066.0,42,1970.0,10.0,23.0,,A000065,GPS,1970-10-23,2020-06-09,65,1,0
JAMES,CAMPBELL,555459606.0,1067.0,9,1961.0,6.0,3.0,,A000066,CPS,1961-06-03,2019-01-25,66,1,0
DENISE,SMITH,583590245.0,1068.0,43,2002.0,1.0,16.0,,A000067,GPS,2002-01-16,2020-12-12,67,1,0
JAMES,RODRIGUEZ,214606867.0,1069.0,60,1982.0,3.0,23.0,,A000068,GPS,1982-03-23,2020-10-28,68,0,0
PAMELA,LYNCH,576490788.0,1070.0,32,1987.0,2.0,16.0,,A000069,CPS,1987-02-16,2020-01-08,69,0,1
ELIZABETH,MENDOZA,847332802.0,1071.0,35,1976.0,10.0,22.0,,A000070,GPS,1976-10-22,2020-04-25,70,0,0
SANDRA,WILLIAMS,343894614.0,1072.0,13,1996.0,3.0,19.0,,A000071,GPS,1996-03-19,2022-10-02,71,1,0
JAMES,BURKE,197311045.0,1073.0,67,2004.0,11.0,28.0,,A000072,CPS,2004-11-28,2018-05-08,72,1,0
KEITH,SCOTT,996540546.0,1074.0,37,1993.0,11.0,16.0,,A000073,GPS,1993-11-16,2022-08-13,73,0,1
IVAN,ANDERSON,249586776.0,1075.0,12,1965.0,9.0,19.0,,A000074,CPS,1965-09-19,2022-04-28,74,0,0
SAMUEL,SANCHEZ,786340367.0,1076.0,55,1971.0,2.0,24.0,,A000075,GPS,1971-02-24,2018-02-15,75,0,1
MARGARET,COLLINS,486153844.0,1077.0,48,2003.0,10.0,14.0,,A000076,CPS,2003-10-14,2021-11-10,76,0,0
ELIZABETH,VAZQUEZ,376323126.0,1078.0,24,2003.0,8.0,25.0,,A000077,CPS,2003-08-25,2021-12-17,77,1,0
PATRICIA,CLARK,437300752.0,1079.0,10,2002.0,12.0,26.0,3.0,A000078,GPS,2002-12-26,2019-09-19,78,1,0
ARTHUR,SANCHEZ,974500567.0,1080.0,42,1999.0,6.0,22.0,,A000079,CPS,1999-06-22,2022-03-16,79,0,0
JOHN,PHILLIPS,460004895.0,1081.0,20,1979.0,6.0,21.0,,A000080,GPS,1979-06-21,2022-08-07,80,0,1
JAMES,SALAZAR,983397373.0,1082.0,45,1968.0,10.0,22.0,,A000081,CPS,1968-10-22,2021-11-12,81,0,1
CARL,SMITH,915958667.0,1083.0,59,1986.0,6.0,20.0,,A000082,CPS,1986-06-20,2022-03-15,82,1,0
JAMES,RILEY,847432771.0,1084.0,26,1980.0,12.0,2.0,,A000083,GPS,1980-12-02,2019-04-21,83,0,1
MARY,FLORES,651681350.0,1085.0,50,2000.0,7.0,20.0,,A000084,CPS,2000-07-20,2022-01-01,84,1,0
GRACE,SILVA,284935567.0,1086.0,10,1988.0,4.0,10.0,,A000085,GPS,1988-04-10,2019-09-03,85,0,0
MELISSA,ARNOLD,368621966.0,1087.0,38,1969.0,5.0,27.0,,A000086,CPS,1969-05-27,2019-05-12,86,0,0
MICHELLE,WELLS,217986314.0,1088.0,3,1998.0,2.0,17.0,,A000087,GPS,1998-02-17,2019-08-07,87,0,1
ROGER,WATTS,437596223.0,1089.0,47,2003.0,8.0,17.0,,A000088,GPS,2003-08-17,2018-02-17,88,0,0
BRIAN,RAY,968850266.0,1090.0,16,1977.0,12.0,25.0,,A000089,GPS,1977-12-25,2020-11-10,89,1,0
JESSICA,BARNES,692258659.0,1091.0,22,1998.0,4.0,20.0,,A000090,CPS,1998-04-20,2018-02-14,90,1,1
DORIS,HERNANDEZ,307486194.0,1092.0,59,1981.0,4.0,10.0,,A000091,CPS,1981-04-10,2020-11-28,91,0,1
NANCY,MARTINEZ,334581476.0,1093.0,13,1977.0,8.0,13.0,,A000092,CPS,1977-08-13,2021-10-03,92,0,1
NANCY,JONES,600524344.0,1094.0,4,1984.0,7.0,12.0,,A000093,CPS,1984-07-12,2021-01-19,93,0,1
PATRICIA,JOHNSON,608044269.0,1095.0,33,1987.0,9.0,19.0,,A000094,CPS,1987-09-19,2019-06-26,94,1,1
MATTHEW,JOHNSON,515773862.0,1096.0,56,1972.0,1.0,16.0,,A000095,CPS,1972-01-16,2018-02-18,95,1,0
MICHAEL,ORTIZ,218482581.0,1097.0,61,1972.0,9.0,7.0,,A000096,CPS,1972-09-07,2020-09-16,96,1,0
PATRICIA,MOORE,884283742.0,1098.0,19,1972.0,6.0,23.0,,A000097,GPS,1972-06-23,2018-07-22,97,0,1
JACOB,SMITH,389505042.0,1099.0,49,1980.0,12.0,18.0,,A000098,GPS,1980-12-18,2019-09-06,98,0,0
MATTHEW,GUZMAN,893300417.0,1100.0,43,1981.0,1.0,22.0,,A000099,CPS,1981-01-22,2018-11-05,99,0,1
RICHARD,SIMPSON,591653766.0,1101.0,20,1984.0,6.0,16.0,,A000100,CPS,1984-06-16,2019-12-12,100,1,1
MICHELLE,SNYDER,394009628.0,1102.0,2,1985.0,11.0,12.0,,A000101,CPS,1985-11-12,2018-12-05,101,0,1
JAMES,SMITH,864704439.0,1103.0,47,1984.0,11.0,13.0,,A000102,GPS,1984-11-13,2021-10-05,102,0,0
LINDA,WRIGHT,953828746.0,1104.0,57,1976.0,3.0,6.0,,A000103,CPS,1976-03-06,2020-08-11,103,0,1
ADAM,CLARK,680944359.0,1105.0,57,1978.0,1.0,25.0,,A000104,GPS,1978-01-25,2018-08-14,104,1,0
FRED,JONES,598743755.0,1106.0,54,1964.0,8.0,19.0,,A000105,GPS,1964-08-19,2021-02-27,105,1,0
KENNETH,ELLIOTT,180305364.0,1107.0,66,1977.0,3.0,21.0,,A000106,CPS,1977-03-21,2018-12-09,106,1,0
CAROL,CRUZ,835206810.0,1108.0,12,1999.0,12.0,12.0,,A000107,GPS,1999-12-12,2019-09-04,107,0,1
TYLER,RUIZ,680151262.0,1109.0,35,1974.0,1.0,24.0,,A000108,GPS,1974-01-24,2020-08-07,108,0,0
RALPH,GARCIA,346191493.0,1110.0,7,1979.0,12.0,28.0,,A000109,GPS,1979-12-28,2022-02-22,109,1,0
KENNETH,JONES,297220337.0,1111.0,24,1969.0,6.0,5.0,,A000110,CPS,1969-06-05,2018-05-24,110,0,1
JAMES,HERNANDEZ,969693108.0,1112.0,32,1963.0,5.0,1.0,,A000111,GPS,1963-05-01,2022-10-05,111,1,1
LINDA,HICKS,841460558.0,1113.0,40,1996.0,4.0,6.0,,A000112,CPS,1996-04-06,2020-06-27,112,0,1
KELLY,SANCHEZ,154150513.0,1114.0,44,1965.0,4.0,2.0,,A000113,CPS,1965-04-02,2020-04-17,113,1,1
JOHN,JOHNSON,591185959.0,1115.0,21,1989.0,4.0,5.0,,A000114,GPS,1989-04-05,2018-11-18,114,1,1
MARK,JONES,657258393.0,1116.0,20,1986.0,2.0,16.0,,A000115,CPS,1986-02-16,2019-09-22,115,1,1
STEVEN,GARCIA,703748138.0,1117.0,36,1963.0,4.0,6.0,,A000116,CPS,1963-04-06,2019-03-16,116,0,0
BRENDA,RICHARDSON,667839000.0,1118.0,16,1973.0,9.0,9.0,,A000117,CPS,1973-09-09,2021-08-26,117,0,1
JUDY,KELLY,790332623.0,1119.0,30,1965.0,7.0,11.0,,A000118,GPS,1965-07-11,2019-09-18,118,1,1
MICHELLE,PHILLIPS,876518835.0,1120.0,14,1967.0,10.0,5.0,,A000119,CPS,1967-10-05,2018-07-22,119,0,1
CHARLES,JACKSON,502627006.0,1121.0,8,1970.0,7.0,14.0,,A000120,GPS,1970-07-14,2021-11-19,120,0,0
JAMES,HENRY,931250482.0,1122.0,12,1985.0,4.0,10.0,,A000121,GPS,1985-04-10,2020-08-09,121,0,1
MARY,WELLS,605068968.0,1123.0,21,1964.0,5.0,13.0,,A000122,CPS,1964-05-13,2019-04-06,122,1,1
TYLER,HOWE,315983242.0,1124.0,30,2004.0,10.0,2.0,,A000123,GPS,2004-10-02,2020-06-25,123,1,0
JASON,KELLY,994673248.0,1125.0,32,1966.0,4.0,13.0,,A000124,GPS,1966-04-13,2022-01-01,124,1,0
ADAM,HAWKINS,411122498.0,1126.0,29,1966.0,12.0,25.0,,A000125,GPS,1966-12-25,2019-12-22,125,1,0
RUSSELL,JOHNSON,647518996.0,1127.0,36,1998.0,8.0,26.0,,A000126,CPS,1998-08-26,2021-06-13,126,0,0
JAMES,COLLINS,551766000.0,1128.0,7,1991.0,3.0,7.0,,A000127,CPS,1991-03-07,2022-09-17,127,1,1
ROBERT,GONZALEZ,974302832.0,1129.0,60,1962.0,12.0,17.0,,A000128,CPS,1962-12-17,2020-01-06,128,1,1
JUDITH,GREEN,929750366.0,1130.0,45,1968.0,4.0,21.0,,A000129,GPS,1968-04-21,2019-02-15,129,0,0
JACK,ELLIOTT,211023447.0,1131.0,3,1980.0,2.0,20.0,,A000130,GPS,1980-02-20,2022-12-16,130,1,1
JOHN,TAYLOR,349103874.0,1132.0,14,2002.0,5.0,17.0,,A000131,GPS,2002-05-17,2019-10-22,131,0,1
ANGELA,PIERCE,988529060.0,1133.0,20,2001.0,9.0,26.0,,A000132,GPS,2001-09-26,2020-02-14,132,1,1
SARAH,WOODS,699763271.0,1134.0,62,1975.0,1.0,6.0,,A000133,GPS,1975-01-06,2018-07-12,133,1,0
NANCY,ANDERSON,332822844.0,1135.0,42,1987.0,11.0,7.0,,A000134,GPS,1987-11-07,2019-03-18,134,0,0
RICHARD,MARTINEZ,745974774.0,1136.0,5,2002.0,11.0,27.0,,A000135,CPS,2002-11-27,2020-02-09,135,0,1
ANGELA,MASON,106965372.0,1137.0,51,1993.0,1.0,21.0,,A000136,GPS,1993-01-21,2022-08-12,136,1,1
BETTY,TORRES,916567007.0,1138.0,18,1975.0,7.0,8.0,2.0,A000137,CPS,1975-07-08,2022-04-26,137,0,0
SAMANTHA,PEREZ,399417992.0,1139.0,35,2003.0,1.0,12.0,,A000138,CPS,2003-01-12,2021-08-08,138,0,1
THOMAS,WASHINGTON,278237821.0,1140.0,59,2000.0,2.0,6.0,,A000139,GPS,2000-02-06,2022-10-26,139,1,0
PATRICIA,SMITH,132586383.0,1141.0,8,2002.0,10.0,6.0,3.0,A000140,GPS,2002-10-06,2022-07-04,140,1,1
HELEN,GOMEZ,347531399.0,1142.0,42,2002.0,11.0,16.0,,A000141,CPS,2002-11-16,2021-04-13,141,1,1
JOHN,BURTON,823692082.0,1143.0,15,1967.0,7.0,19.0,,A000142,CPS,1967-07-19,2022-08-22,142,1,1
MARK,HERNANDEZ,481274948.0,1144.0,24,1963.0,9.0,26.0,,A000143,CPS,1963-09-26,2020-04-13,143,1,1
JULIE,JONES,946548287.0,1145.0,67,1980.0,4.0,23.0,,A000144,GPS,1980-04-23,2018-07-28,144,1,1
PETER,JOHNSON,648532758.0,1146.0,5,1965.0,5.0,3.0,,A000145,GPS,1965-05-03,2020-12-07,145,0,0
JAMES,DAVIS,583974757.0,1147.0,65,1992.0,1.0,10.0,,A000146,CPS,1992-01-10,2022-01-14,146,1,1
BOBBY,LANE,530842010.0,1148.0,1,1980.0,9.0,16.0,,A000147,GPS,1980-09-16,2018-08-02,147,1,0
MARY,JIMENEZ,636810185.0,1149.0,15,1985.0,11.0,7.0,,A000148,GPS,1985-11-07,2021-01-13,148,0,0
DOROTHY,CLARK,136322596.0,1150.0,32,1975.0,5.0,6.0,,A000149,CPS,1975-05-06,2020-06-18,149,1,0
JOSEPH,GARDNER,963801815.0,1151.0,14,1967.0,10.0,27.0,,A000150,CPS,1967-10-27,2019-05-23,150,0,1
THOMAS,JENSEN,203468164.0,1152.0,8,1985.0,9.0,10.0,,A000151,GPS,1985-09-10,2019-08-20,151,0,0
STEPHANIE,SMITH,201423093.0,1153.0,20,1990.0,8.0,1.0,,A000152,GPS,1990-08-01,2018-06-28,152,1,0
MARY,JOHNSON,788639655.0,1154.0,40,1965.0,10.0,10.0,,A000153,CPS,1965-10-10,2021-04-04,153,0,1
MARY,RAMIREZ,732003289.0,1155.0,58,1991.0,11.0,22.0,,A000154,GPS,1991-11-22,2018-03-25,154,1,1
KEVIN,SIMMONS,552322508.0,1156.0,61,1960.0,2.0,12.0,,A000155,CPS,1960-02-12,2021-05-20,155,0,1
ELIZABETH,MARTINEZ,476474318.0,1157.0,60,1963.0,9.0,17.0,,A000156,CPS,1963-09-17,2018-02-25,156,0,0
JOHNNY,WILLIAMS,848352479.0,1158.0,45,1987.0,4.0,18.0,,A000157,CPS,1987-04-18,2021-09-01,157,1,1
JAMES,BURKE,689034700.0,1159.0,62,1968.0,7.0,24.0,,A000158,CPS,1968-07-24,2020-09-11,158,1,0
JAMES,VAZQUEZ,121967272.0,1160.0,66,1965.0,6.0,17.0,,A000159,CPS,1965-06-17,2020-04-04,159,1,1
MARY,JOHNSON,799575990.0,1161.0,32,1970.0,6.0,16.0,,A000160,CPS,1970-06-16,2019-10-05,160,0,0
NANCY,SMITH,783140486.0,1162.0,44,1997.0,11.0,20.0,,A000161,CPS,1997-11-20,2022-12-10,161,0,0
ROBERT,SILVA,938639163.0,1163.0,24,2002.0,11.0,10.0,,A000162,CPS,2002-11-10,2019-07-21,162,1,0
STEPHEN,WILLIAMS,836265092.0,1164.0,22,2002.0,1.0,3.0,,A000163,CPS,2002-01-03,2021-10-19,163,0,1
WILLIAM,HERNANDEZ,716614261.0,1165.0,63,1976.0,5.0,25.0,2.0,A000164,GPS,1976-05-25,2020-05-22,164,0,1
RACHEL,SMITH,282297727.0,1166.0,19,1969.0,2.0,21.0,,A000165,CPS,1969-02-21,2022-06-08,165,0,1
LOUIS,WILLIAMS,688692091.0,1167.0,28,1977.0,2.0,14.0,,A000166,GPS,1977-02-14,2020-03-25,166,0,1
ELIZABETH,GONZALEZ,503750923.0,1168.0,50,1967.0,10.0,7.0,,A000167,CPS,1967-10-07,2019-05-18,167,1,1
SUSAN,FOSTER,368587118.0,1169.0,55,1964.0,3.0,13.0,,A000168,CPS,1964-03-13,2020-04-13,168,0,0
RONALD,GOMEZ,200142686.0,1170.0,45,2001.0,6.0,15.0,,A000169,CPS,2001-06-15,2022-08-03,169,0,1
MICHAEL,NASH,513240791.0,1171.0,44,1968.0,11.0,1.0,,A000170,GPS,1968-11-01,2018-12-07,170,1,0
MARY,HARRIS,377277561.0,1172.0,40,1969.0,2.0,18.0,,A000171,GPS,1969-02-18,2018-07-23,171,1,0
ANNA,MARTIN,286283308.0,1173.0,15,2001.0,7.0,7.0,,A000172,CPS,2001-07-07,2020-11-05,172,0,0
RICHARD,SMITH,473415858.0,1174.0,14,1984.0,11.0,22.0,,A000173,GPS,1984-11-22,2022-03-15,173,1,0
RYAN,PEREZ,973511063.0,1175.0,34,2000.0,9.0,12.0,,A000174,GPS,2000-09-12,2018-05-02,174,0,0
STEVEN,TAYLOR,985806805.0,1176.0,54,1973.0,11.0,17.0,,A000175,GPS,1973-11-17,2018-01-09,175,1,0
LORI,JOHNSON,459104824.0,1177.0,8,2001.0,12.0,23.0,,A000176,CPS,2001-12-23,2022-09-20,176,1,1
DANIEL,GARCIA,263254464.0,1178.0,3,1994.0,6.0,14.0,,A000177,GPS,1994-06-14,2022-02-11,177,1,0
JOHN,MARTINEZ,605959391.0,1179.0,5,1970.0,2.0,25.0,,A000178,CPS,1970-02-25,2020-02-07,178,0,0
SARAH,WILSON,987248754.0,1180.0,22,1981.0,12.0,16.0,,A000179,CPS,1981-12-16,2020-05-14,179,1,1
ASHLEY,PEREZ,506362392.0,1181.0,37,1969.0,2.0,28.0,,A000180,CPS,1969-02-28,2021-02-14,180,1,0
MICHAEL,YOUNG,775808529.0,1182.0,4,1977.0,2.0,1.0,,A000181,GPS,1977-02-01,2022-10-15,181,1,0
JUSTIN,BAILEY,850136307.0,1183.0,32,1993.0,1.0,2.0,,A000182,GPS,1993-01-02,2020-10-12,182,1,0
DONNA,POTTER,838643855.0,1184.0,19,2003.0,3.0,2.0,,A000183,CPS,2003-03-02,2020-07-16,183,0,0
MELISSA,HOWARD,792034078.0,1185.0,12,2004.0,9.0,17.0,,A000184,CPS,2004-09-17,2020-09-12,184,1,1
MARY,BREWER,389927363.0,1186.0,6,1999.0,10.0,4.0,,A000185,CPS,1999-10-04,2020-04-15,185,1,0
RUSSELL,MURRAY,879869121.0,1187.0,43,1977.0,12.0,10.0,,A000186,GPS,1977-12-10,2018-09-26,186,1,1
SARAH,SCHMIDT,699497003.0,1188.0,42,1979.0,1.0,5.0,,A000187,CPS,1979-01-05,2019-02-10,187,0,0
JAMES,WELLS,698121483.0,1189.0,1,1970.0,12.0,8.0,,A000188,GPS,1970-12-08,2021-01-13,188,0,1
JAMES,TUCKER,243695316.0,1190.0,55,1968.0,3.0,28.0,,A000189,GPS,1968-03-28,2020-11-27,189,1,1
NATHAN,ROBERTS,618797685.0,1191.0,7,1998.0,7.0,16.0,,A000190,GPS,1998-07-16,2019-01-06,190,1,0
ROBERT,DIXON,101290101.0,1192.0,54,1968.0,4.0,3.0,,A000191,CPS,1968-04-03,2018-03-20,191,0,1
RUTH,SMITH,639771955.0,1193.0,16,1984.0,8.0,3.0,,A000192,CPS,1984-08-03,2021-04-22,192,1,0
JULIE,NGUYEN,763464428.0,1194.0,17,1973.0,8.0,24.0,,A000193,CPS,1973-08-24,2022-04-21,193,1,1
FRANK,LONG,211111279.0,1195.0,29,1977.0,3.0,13.0,,A000194,GPS,1977-03-13,2022-02-28,194,1,1
MICHELLE,JONES,865906934.0,1196.0,4,2002.0,10.0,25.0,,A000195,GPS,2002-10-25,2020-04-07,195,1,0
MICHELLE,GONZALEZ,186262345.0,1197.0,62,1970.0,12.0,25.0,,A000196,GPS,1970-12-25,2020-10-03,196,1,1
JENNIFER,NGUYEN,281770032.0,1198.0,32,1974.0,9.0,23.0,,A000197,GPS,1974-09-23,2021-04-14,197,1,0
JAMES,VARGAS,621234162.0,1199.0,9,1996.0,3.0,15.0,,A000198,CPS,1996-03-15,2019-10-08,198,0,1
NICHOLAS,THOMPSON,715999002.0,1200.0,34,2000.0,9.0,7.0,,A000199,GPS,2000-09-07,2022-04-12,199,1,0
JAMES,SMITH,229502784.0,1201.0,43,1969.0,11.0,24.0,3.0,A000200,CPS,1969-11-24,2018-06-28,200,0,0
JAMES,ROSE,771699391.0,1202.0,37,1974.0,2.0,12.0,,A000201,CPS,1974-02-12,2021-11-09,201,1,0
GEORGE,DANIELS,860679990.0,1203.0,49,1967.0,1.0,17.0,,A000202,CPS,1967-01-17,2022-01-25,202,1,0
RUSSELL,YOUNG,242797671.0,1204.0,47,1977.0,8.0,1.0,,A000203,GPS,1977-08-01,2019-05-11,203,0,0
PATRICIA,WILLIAMS,641308349.0,1205.0,62,1985.0,4.0,14.0,,A000204,CPS,1985-04-14,2022-05-17,204,0,1
JAMES,PRICE,614277919.0,1206.0,41,2000.0,12.0,12.0,,A000205,CPS,2000-12-12,2022-08-23,205,1,1
