firstname,lastname,ssn,mciid,county,dobyy,dobmm,dobdd,suffix,referralid,referraltype,dob,dt_referral,true_entity_id,bin1,bin2
MIGCHAEL,SMTIH,,1169.0,23,1972.0,9.0,3.0,,V744489,CPS,1972-09-03,2019-05-27,168,1,0
JAMES,GARCIA,610244015.0,1239.0,51,1961.0,3.0,16.0,,V369132,GPS,1961-03-16,2021-10-14,238,1,1
DIYA,CARTER,484431671.0,1031.0,10,1964.0,6.0,19.0,,D000030,CPS,1964-06-19,2018-12-11,30,1,1
HUI,GUZMAN,618206595.0,1317.0,64,1983.0,9.0,3.0,,D000316,GPS,1983-09-03,2022-11-20,316,0,1
WEI,WILLIAMS,752664988.0,1175.0,54,1964.0,8.0,24.0,,V954641,GPS,1964-08-24,2018-09-06,174,0,1
EDWARDS,JOHN,387219239.0,1309.0,61,1997.0,6.0,15.0,,V240646,GPS,1997-06-15,2022-11-28,308,1,0
RNARY,WOODS,272221529.0,1109.0,53,1982.0,8.0,2.0,,V294750,GPS,1982-08-02,2020-12-26,108,1,1
JAMES,CONTRERAS,767544769.0,1281.0,44,1964.0,2.0,3.0,,D000280,GPS,1964-02-03,2021-04-10,280,1,1
JAMES,RAO,528631577.0,1018.0,21,1997.0,4.0,18.0,,V411400,CPS,1997-04-18,2019-12-02,17,1,0
JING,DAVIS,876488107.0,1077.0,18,1981.0,7.0,25.0,,D000076,CPS,1981-07-25,2019-03-10,76,0,1
RNARY,LOPEZ,473541866.0,1207.0,27,1962.0,4.0,3.0,,V924092,CPS,1962-04-03,2021-03-06,206,0,1
JESSICA,RUSSELL,318234567.0,1093.0,59,1963.0,7.0,25.0,,V386031,CPS,1963-07-25,2019-09-01,92,1,1
STEVEN,DAVIS,345868472.0,1212.0,28,1973.0,9.0,8.0,,D000211,CPS,1973-09-08,2019-09-17,211,1,1
LAURA,WEAVER,937346155.0,1102.0,20,1965.0,10.0,3.0,,D000101,GPS,1965-10-03,2018-08-07,101,0,0
MARY,COOPER,754533093.0,1335.0,27,1985.0,4.0,13.0,,D000334,CPS,1985-04-13,2019-09-03,334,1,1
RONALD,FREEMAN,201670529.0,1156.0,57,1996.0,12.0,5.0,,V804710,CPS,1996-12-05,2022-10-04,155,0,0
MARY,HARRIS,278377502.0,1337.0,59,1993.0,3.0,19.0,,D000336,CPS,1993-03-19,2019-09-23,336,1,1
JOHN,WALKER,,1108.0,1,1990.0,10.0,22.0,,V816315,CPS,1990-10-22,2018-01-11,107,1,0
ABEBE,STEWART,693241094.0,1174.0,4,1989.0,2.0,6.0,,D000173,CPS,1989-02-06,2022-12-22,173,1,0
PETER,PHILLIPS,369726073.0,1003.0,33,1975.0,1.0,23.0,,D000002,CPS,1975-01-23,2022-05-24,2,1,1
DESHAWN,CHOI,959408552.0,1334.0,37,1997.0,6.0,26.0,,D000333,CPS,1997-06-26,2018-12-09,333,0,0
BROWN,MARY,703203258.0,1188.0,20,1968.0,7.0,18.0,,V592449,CPS,1968-07-18,2020-06-19,187,1,1
PATRICIA,KIM,474948669.0,1071.0,9,1990.0,3.0,8.0,,D000070,CPS,1990-03-08,2020-07-05,70,1,1
MINJUN,TORRES,659612826.0,1210.0,44,1988.0,1.0,19.0,,D000209,CPS,1988-01-19,2020-04-20,209,0,1
SCOTT,HAWKINS,504349951.0,1064.0,3,2000.0,8.0,2.0,,D000063,GPS,2000-08-02,2021-07-11,63,0,0
AMINA,PRICE,180838710.0,1116.0,27,1962.0,11.0,27.0,,V588456,GPS,1962-11-27,2020-09-03,115,1,1
WILLIAM,GARCIA,922756223.0,1094.0,51,1999.0,7.0,20.0,,D000093,CPS,1999-07-20,2020-09-16,93,1,1
TYLFR,GONZALEZ,126851292.0,1167.0,62,1996.0,3.0,19.0,,V731373,GPS,1996-03-19,2022-02-06,166,0,1
LINH,ZHANG,213423707.0,1186.0,36,1971.0,5.0,7.0,,D000185,GPS,1971-05-07,2018-12-04,185,1,1
HUI,WRIGHT,959814485.0,1034.0,15,1991.0,10.0,25.0,,D000033,CPS,1991-10-25,2022-02-04,33,1,1
LINH,BLACK,246312319.0,1078.0,12,1967.0,7.0,18.0,,D000077,CPS,1967-07-18,2022-12-03,77,0,0
MEERA,ROGERS,869152479.0,1001.0,4,1980.0,2.0,11.0,,D000000,CPS,1980-02-11,2022-12-11,0,1,1
MADISON,WILLIAMS,812776982.0,1012.0,16,1980.0,9.0,12.0,,D000011,GPS,1980-09-12,2022-02-08,11,1,0
NANCY,ZHOU,233145962.0,1183.0,15,1985.0,3.0,9.0,1.0,V262908,CPS,1985-03-09,2021-05-12,182,0,1
MARILYN,ZHAO,704433003.0,1023.0,66,1971.0,2.0,15.0,3.0,D000022,GPS,1971-02-15,2022-05-02,22,0,0
HENRY,SMITH,101494636.0,1073.0,61,2004.0,6.0,25.0,,D000072,GPS,2004-06-25,2018-02-23,72,1,1
NANCY,ZHOU,233145962.0,1183.0,15,1985.0,3.0,9.0,1.0,D000182,CPS,1985-03-09,2020-02-11,182,0,0
CHIDI,ZHANG,864491799.0,1132.0,25,1987.0,11.0,13.0,,D000131,CPS,1987-11-13,2018-01-13,131,0,1
NATHAN,REYES,426417254.0,1325.0,22,1996.0,1.0,20.0,,V845374,GPS,1996-01-20,2019-11-06,324,0,0
DIANE,MCGUIRE,992597028.0,1194.0,19,1987.0,3.0,5.0,,D000193,GPS,1987-03-05,2022-03-15,193,0,1
MOHAMMED,STEPHENS,142762300.0,1056.0,50,1985.0,4.0,25.0,,D000055,GPS,1985-04-25,2019-04-24,55,1,1
JOSEPH,MOORE,643082008.0,1149.0,32,1960.0,11.0,5.0,,D000148,CPS,1960-11-05,2018-09-17,148,1,0
SAMIR,HUANG,995231573.0,1019.0,59,1988.0,7.0,20.0,,D000018,CPS,1988-07-20,2020-01-01,18,0,1
JAMES,SMITH,907571979.0,1205.0,43,2001.0,5.0,25.0,,D000204,GPS,2001-05-25,2018-11-05,204,0,0
MARK,SMITH,101109756.0,1079.0,57,1971.0,4.0,7.0,,D000078,GPS,1971-04-07,2022-02-01,78,1,0
SEOYEON,YOON,593355577.0,1154.0,45,1974.0,9.0,3.0,,V462666,GPS,1974-09-03,2019-06-05,153,0,1
MICHAEL,LARSON,338847025.0,1263.0,61,1981.0,11.0,10.0,,D000262,GPS,1981-11-10,2018-03-14,262,1,0
BETTY,ALVAREZ,439485384.0,1324.0,5,1990.0,9.0,22.0,,D000323,GPS,1990-09-22,2019-04-27,323,1,0
JEFFREY,RROWN,637717562.0,1092.0,39,1970.0,1.0,21.0,,V833951,GPS,1970-01-21,2020-10-01,91,0,1
KATHERINE,WEBB,199984704.0,1080.0,42,1998.0,12.0,7.0,3.0,D000079,GPS,1998-12-07,2019-07-15,79,1,1
AARAV,ROBERTSON,132258476.0,1040.0,50,1973.0,9.0,26.0,,D000039,CPS,1973-09-26,2020-02-11,39,1,1
MING,DEAN,,1255.0,28,1974.0,8.0,26.0,,V711473,GPS,1974-08-26,2022-03-21,254,1,1
WILLIAM,SILVA,146123688.0,1047.0,17,1982.0,4.0,6.0,,D000046,CPS,1982-04-06,2019-11-16,46,0,1
JAMES,GARCIA,610244015.0,1239.0,51,1961.0,3.0,16.0,,D000238,GPS,1961-03-16,2020-09-07,238,1,1
HERNANDEZ,THOMAS,145864434.0,1057.0,20,1999.0,5.0,21.0,,V317921,GPS,1999-05-21,2021-04-08,56,1,0
MARY,DAVIHS,,1294.0,51,1985.0,12.0,14.0,,V592314,GPS,1985-12-14,2021-10-05,293,1,1
FRANCISCO,HAWKINS,892932446.0,1342.0,12,1978.0,12.0,16.0,,D000341,GPS,1978-12-16,2019-01-18,341,1,1
LISA,JOHNSON,890529160.0,1278.0,22,1986.0,4.0,3.0,3.0,D000277,CPS,1986-04-03,2018-12-23,277,1,1
FATIMA,MALHOTRA,879015285.0,1291.0,53,1986.0,11.0,22.0,,D000290,CPS,1986-11-22,2019-05-25,290,1,1
ROHAN,WOLFE,941843232.0,1318.0,40,2001.0,6.0,24.0,,D000317,CPS,2001-06-24,2021-07-06,317,1,0
PETER,BOYD,898813979.0,1305.0,19,1972.0,11.0,4.0,,D000304,GPS,1972-11-04,2019-09-07,304,0,0
MARY,WILLIAMS,985177159.0,1269.0,23,1961.0,1.0,8.0,,D000268,CPS,1961-01-08,2018-02-05,268,1,1
JOSEPH,HART,307495298.0,1070.0,28,1972.0,10.0,21.0,,D000069,GPS,1972-10-21,2019-03-21,69,0,0
PATRICIA,HARRIS,494547632.0,1016.0,21,1976.0,10.0,18.0,,V543919,CPS,1976-10-18,2019-01-12,15,0,1
ELIZABETH,THOMAS,468225979.0,1315.0,13,1998.0,4.0,25.0,,V174340,CPS,1998-04-25,2021-05-02,314,0,1
MARY,JANG,819292169.0,1155.0,13,1960.0,2.0,28.0,,D000154,CPS,1960-02-28,2022-03-04,154,0,1
YUSUF,IYER,540551805.0,1083.0,28,1978.0,6.0,5.0,3.0,D000082,GPS,1978-06-05,2019-09-24,82,0,0
ROBERT,MARTINEZ,406232390.0,64024.0,8,1987.0,10.0,8.0,,D000021,CPS,1987-10-08,2022-04-01,352,0,1
JOHN,BROWN,248938981.0,1173.0,23,1984.0,11.0,16.0,,D000172,CPS,1984-11-16,2018-06-24,172,0,0
CHRISTOPHER,PHAM,277067962.0,1322.0,21,1971.0,10.0,6.0,,D000321,GPS,1971-10-06,2018-01-25,321,1,0
WEI,ROBERTSON,390241396.0,1091.0,58,1968.0,10.0,14.0,,D000090,CPS,1968-10-14,2022-01-27,90,0,0
LATOYA,NAIR,211759216.0,1181.0,54,1964.0,7.0,10.0,,D000180,GPS,1964-07-10,2020-03-12,180,0,0
LATOYWA,NAIR,211759216.0,1181.0,54,1964.0,7.0,10.0,,V691192,GPS,1964-07-10,2019-09-20,180,0,0
PATRICIA,JONES,622890436.0,1313.0,37,1962.0,6.0,9.0,,D000312,CPS,1962-06-09,2021-03-13,312,1,0
CARL,ROBERTS,441147425.0,1279.0,45,2002.0,7.0,16.0,,D000278,GPS,2002-07-16,2021-08-13,278,0,0
GONZALEZ,JENNIFER,640660526.0,1157.0,67,1978.0,2.0,10.0,,V434870,CPS,1978-02-10,2019-01-13,156,0,1
JAMES,MILES,408375498.0,1273.0,30,1982.0,3.0,14.0,,V457692,CPS,1982-03-14,2021-09-02,272,0,0
DON,MUNOZ,866787299.0,1058.0,57,1989.0,3.0,24.0,,V503681,CPS,1989-03-24,2019-04-19,57,1,1
NATHAN,REYES,426417254.0,1325.0,22,1996.0,1.0,20.0,,D000324,GPS,1996-01-20,2022-07-18,324,0,0
DARNELZL,JOHNSON,114921821.0,1198.0,27,1992.0,1.0,13.0,,V386330,GPS,1992-01-13,2019-11-17,197,1,0
MING,COLLINS,151341724.0,1348.0,58,1984.0,10.0,22.0,,D000347,CPS,1984-10-22,2020-07-18,347,1,1
DEEPAK,WILLIAMS,802523023.0,1087.0,17,1980.0,10.0,6.0,,D000086,GPS,1980-10-06,2018-07-08,86,0,0
JENNIFER,WEBB,473301014.0,1076.0,26,1977.0,9.0,23.0,,D000075,GPS,1977-09-23,2020-09-01,75,0,1
MARY,LEWIS,158977390.0,1050.0,12,1985.0,2.0,12.0,,V170935,GPS,1985-02-12,2022-10-20,49,1,0
PATRICIA,HARRIS,494547632.0,1016.0,21,1976.0,10.0,18.0,,D000015,CPS,1976-10-18,2019-11-13,15,0,0
HAO,DUONG,568207060.0,1250.0,48,1966.0,10.0,23.0,,D000249,CPS,1966-10-23,2022-09-14,249,1,0
MARK,SMITH,101109756.0,1079.0,57,1971.0,4.0,7.0,,V636042,GPS,1971-04-07,2022-05-11,78,0,0
THUY,NAVARRO,630119158.0,1020.0,52,2003.0,11.0,17.0,,D000019,CPS,2003-11-17,2018-10-05,19,1,0
LINDA,NASH,404233775.0,1323.0,42,1976.0,2.0,25.0,,D000322,GPS,1976-02-25,2018-05-01,322,0,0
RAHUL,SMITH,405529978.0,1333.0,2,1978.0,5.0,16.0,,D000332,GPS,1978-05-16,2021-06-23,332,0,0
THOMAS,HERNANDEZ,145864434.0,1057.0,20,1999.0,5.0,21.0,,D000056,GPS,1999-05-21,2022-10-01,56,1,0
MARY,SPENCER,989220135.0,1302.0,52,1972.0,2.0,25.0,,D000301,CPS,1972-02-25,2020-12-19,301,1,0
MARY,THOMAS,886499647.0,1230.0,67,1987.0,1.0,20.0,,D000229,GPS,1987-01-20,2019-02-02,229,1,0
ROBERT,GARCIA,142087396.0,1332.0,37,1979.0,7.0,13.0,,D000331,GPS,1979-07-13,2021-07-14,331,1,0
STEVEN,EDWARDS,544586493.0,1133.0,38,1971.0,12.0,4.0,,D000132,GPS,1971-12-04,2022-03-04,132,1,0
KAREN,MILLER,512040980.0,1138.0,59,1964.0,9.0,4.0,,D000137,GPS,1964-09-04,2018-02-25,137,1,1
OHN,PATEL,534366903.0,1103.0,11,1975.0,4.0,7.0,,V788330,GPS,1975-04-07,2020-11-13,102,0,1
JOSHUA,THOMAS,319237070.0,1336.0,47,1997.0,11.0,16.0,,D000335,CPS,1997-11-16,2020-09-06,335,0,0
ROBERT,WANG,266661410.0,1026.0,24,1988.0,10.0,27.0,,D000025,CPS,1988-10-27,2019-04-16,25,0,0
EERESA,WANG,160914175.0,1321.0,18,1974.0,6.0,1.0,,V504418,GPS,1974-06-01,2019-02-16,320,1,0
ROBERT,OKONKWO,687498294.0,1282.0,50,1960.0,12.0,13.0,,D000281,GPS,1960-12-13,2021-09-04,281,1,0
RICHARD,COOPER,816425700.0,1248.0,25,1972.0,1.0,10.0,,D000247,GPS,1972-01-10,2022-04-16,247,1,1
KATHERINE,HUANG,786797683.0,1238.0,51,1966.0,7.0,9.0,,D000237,GPS,1966-07-09,2019-03-18,237,0,0
GARY,JOHNSTON,939602687.0,1118.0,56,1996.0,7.0,21.0,,D000117,CPS,1996-07-21,2018-03-25,117,1,1
AMIT,EDWARDS,765325229.0,1043.0,37,1993.0,6.0,1.0,,D000042,GPS,1993-06-01,2018-02-13,42,0,1
JING,HUANG,979038102.0,1221.0,32,1962.0,1.0,22.0,,D000220,CPS,1962-01-22,2018-05-01,220,0,1
JOSEPH,ELLIS,737282111.0,1177.0,42,1994.0,8.0,17.0,,D000176,CPS,1994-08-17,2020-02-10,176,0,1
TERESA,WANG,160914175.0,1321.0,18,1974.0,6.0,1.0,,D000320,GPS,1974-06-01,2020-08-09,320,1,0
SEOYEON,YOON,593355577.0,1154.0,45,1974.0,9.0,3.0,,D000153,GPS,1974-09-03,2022-03-19,153,0,1
SUSAN,HALL,328298055.0,1232.0,40,2004.0,8.0,19.0,,D000231,GPS,2004-08-19,2018-09-16,231,0,1
MARK,PHAN,308152485.0,1228.0,7,2001.0,6.0,9.0,,D000227,GPS,2001-06-09,2021-12-04,227,0,0
STEVE,DAVIS,345868472.0,1212.0,28,1973.0,9.0,8.0,,V832814,CPS,1973-09-08,2020-06-19,211,1,1
WEI,PETERS,615422640.0,1204.0,53,1969.0,6.0,13.0,,D000203,CPS,1969-06-13,2021-07-23,203,1,1
LINDA,CLARK,179973966.0,1127.0,33,2002.0,6.0,19.0,1.0,D000126,CPS,2002-06-19,2022-06-06,126,0,0
JENNIFER,ZHAO,377015980.0,1330.0,30,1993.0,2.0,23.0,,D000329,GPS,1993-02-23,2018-08-11,329,0,1
DORIS,BERRY,687629913.0,1032.0,64,1960.0,8.0,16.0,,D000031,GPS,1960-08-16,2021-10-14,31,1,1
SOOJIN,YANG,118505746.0,1114.0,31,1972.0,10.0,17.0,,D000113,GPS,1972-10-17,2019-06-04,113,0,1
ALEJANDRO,SHAW,445001282.0,1170.0,38,1962.0,9.0,7.0,,V600992,CPS,1962-09-07,2020-04-21,169,0,1
WEI,KANG,290932666.0,1272.0,32,1975.0,8.0,21.0,,D000271,CPS,1975-08-21,2021-07-16,271,1,0
KAREN,ALVAREZ,995665079.0,1141.0,8,1969.0,11.0,18.0,,D000140,CPS,1969-11-18,2020-06-04,140,0,0
DONALD,MUNOZ,866787299.0,1058.0,57,1989.0,3.0,24.0,,D000057,CPS,1989-03-24,2018-12-05,57,1,1
MARY,HUNT,209216730.0,1193.0,67,1995.0,8.0,18.0,,D000192,CPS,1995-08-18,2022-06-13,192,1,1
SAMANTHA,BROWN,808830852.0,1025.0,66,1973.0,7.0,16.0,,D000024,CPS,1973-07-16,2019-06-04,24,1,0
JAMES,RAO,528631577.0,1018.0,21,1997.0,4.0,18.0,,D000017,CPS,1997-04-18,2020-08-18,17,1,0
WEI,RUSSELL,279587793.0,1266.0,13,1988.0,9.0,20.0,,D000265,GPS,1988-09-20,2020-09-16,265,0,1
SANDRA,WANG,371864411.0,1067.0,14,1982.0,2.0,14.0,,D000066,GPS,1982-02-14,2021-10-20,66,1,0
MARY,PHAN,248864384.0,1209.0,62,1968.0,1.0,27.0,,D000208,GPS,1968-01-27,2021-10-09,208,1,0
SARAH,ANDREWS,351108822.0,78982.0,13,1982.0,12.0,26.0,,D000080,GPS,1982-12-26,2018-11-01,353,1,1
JING,MARTINEZ,531877060.0,1095.0,23,1983.0,6.0,19.0,,D000094,CPS,1983-06-19,2021-12-18,94,0,1
MING,FOSTER,794995274.0,1254.0,27,2002.0,3.0,8.0,,D000253,CPS,2002-03-08,2019-05-21,253,0,1
JENNIFER,BARNES,927918100.0,1267.0,44,1996.0,3.0,14.0,,D000266,CPS,1996-03-14,2020-07-04,266,0,0
ANDREA,GONZALEZ,340307444.0,1024.0,42,2003.0,6.0,5.0,,D000023,CPS,2003-06-05,2021-04-27,23,0,1
TIMOTHY,SCOTT,270789183.0,1223.0,64,1962.0,4.0,24.0,,D000222,CPS,1962-04-24,2020-08-01,222,0,1
JERRY,RAMOS,965394666.0,1262.0,49,1963.0,2.0,20.0,,D000261,CPS,1963-02-20,2019-01-01,261,0,1
DONALD,SMITH,804664116.0,1285.0,30,1970.0,1.0,27.0,,V495888,CPS,1970-01-27,2019-08-19,284,0,1
FERNANDA,NELSON,239897407.0,1006.0,17,1962.0,12.0,26.0,,D000005,CPS,1962-12-26,2022-11-19,5,1,0
JUSTIN,HOWARD,108333803.0,1117.0,36,1993.0,1.0,14.0,,D000116,GPS,1993-01-14,2019-03-24,116,1,1
ALEXANDER,CHOI,136971183.0,1046.0,6,1982.0,4.0,22.0,,D000045,GPS,1982-04-22,2018-04-04,45,0,1
MARK,OWENS,874870341.0,1017.0,52,1966.0,12.0,26.0,,D000016,GPS,1966-12-26,2018-11-27,16,0,1
TONG,CAMPOS,184664766.0,1253.0,50,1964.0,7.0,5.0,,V712539,GPS,1964-07-05,2018-07-13,252,1,0
RACHEL,DAVLS,409435938.0,1343.0,63,1989.0,12.0,21.0,,V286617,CPS,1989-12-21,2019-07-07,342,1,1
JEFFREY,PHAM,390243112.0,1004.0,7,1994.0,10.0,23.0,,D000003,GPS,1994-10-23,2020-02-26,3,0,0
MADISON,ZHAO,409151429.0,1219.0,41,2000.0,7.0,3.0,,D000218,GPS,2000-07-03,2021-01-08,218,1,0
TARIO,JOHNSON,805441698.0,1014.0,10,1966.0,1.0,7.0,,V705080,CPS,1966-01-07,2022-10-14,13,1,1
AARAV,RICHARDSON,154475605.0,1061.0,28,1985.0,7.0,3.0,,D000060,CPS,1985-07-03,2021-03-09,60,0,1
THOMAS,PHAM,643235111.0,1111.0,35,1992.0,10.0,6.0,,D000110,CPS,1992-10-06,2022-02-01,110,0,1
JING,LOPEZ,553851602.0,1319.0,41,1985.0,11.0,28.0,,D000318,GPS,1985-11-28,2020-03-21,318,1,1
MARY,SPENCER,989220135.0,1302.0,40,1972.0,2.0,25.0,,V965870,CPS,1972-02-25,2021-01-21,301,1,0
REBECCA,JENKINS,191704741.0,1030.0,28,1987.0,4.0,12.0,,D000029,CPS,1987-04-12,2020-01-21,29,1,1
AMRY,YAG,,1350.0,48,1982.0,12.0,13.0,,V227337,GPS,1982-12-13,2020-02-15,349,1,1
JERRY,RAMQS,965394666.0,1262.0,49,1963.0,2.0,20.0,,V978579,CPS,1963-02-20,2021-01-14,261,0,1
SARAH,BERRY,254076950.0,1027.0,64,1991.0,12.0,1.0,,D000026,GPS,1991-12-01,2019-04-08,26,0,0
AHMED,FREEMAN,354922239.0,1008.0,46,1996.0,9.0,14.0,,D000007,GPS,1996-09-14,2018-01-18,7,0,0
RYAQN,NASH,381312953.0,1055.0,50,1968.0,9.0,21.0,,V412419,GPS,1968-09-21,2020-06-26,54,1,0
MARY,WOODS,272221529.0,1109.0,53,1982.0,8.0,2.0,,D000108,GPS,1982-08-02,2020-08-18,108,1,1
CHRISTOPHER,PEARSON,489675243.0,1038.0,55,1980.0,2.0,12.0,,D000037,CPS,1980-02-12,2022-10-18,37,0,1
LINH,MUNOZ,366798611.0,1158.0,10,2003.0,8.0,25.0,,D000157,GPS,2003-08-25,2022-02-03,157,1,1
RAMIREZ,PAUL,234436740.0,1260.0,40,1961.0,4.0,23.0,,V216781,GPS,1961-04-23,2018-11-27,259,1,1
HAO,WANG,834902041.0,1119.0,30,1980.0,7.0,13.0,,D000118,CPS,1980-07-13,2019-10-22,118,0,1
WEI,DIAZ,926940874.0,1115.0,36,2001.0,10.0,9.0,,D000114,GPS,2001-10-09,2021-09-18,114,0,1
JAMES,ZHAO,860714758.0,1176.0,45,1971.0,4.0,21.0,,D000175,CPS,1971-04-21,2018-02-12,175,0,1
TIMOTHY,ANDREWS,557350620.0,1081.0,13,2004.0,5.0,1.0,,V181322,GPS,2004-05-01,2020-06-19,80,0,1
ANDREA,MEHTA,901017511.0,1182.0,56,1977.0,5.0,21.0,,D000181,CPS,1977-05-21,2020-06-04,181,0,0
HONG,KENNEDY,323626984.0,1145.0,22,1985.0,8.0,20.0,,D000144,CPS,1985-08-20,2022-02-15,144,1,0
HAO,DUONG,568207060.0,1250.0,48,1966.0,10.0,23.0,,V743424,CPS,1966-10-23,2018-01-02,249,1,1
MARY,YANG,215171485.0,1350.0,48,1982.0,12.0,13.0,,V817712,GPS,1982-12-13,2018-05-05,349,1,1
WEI,ROBINSON,103606844.0,1196.0,59,1971.0,2.0,25.0,,D000195,CPS,1971-02-25,2019-05-02,195,1,1
JOHN,PATEL,534366903.0,1103.0,10,1975.0,4.0,7.0,,V498150,GPS,1975-04-07,2020-10-20,102,0,1
BARBARA,SUN,760145413.0,1276.0,56,1971.0,11.0,28.0,,D000275,CPS,1971-11-28,2018-09-10,275,0,0
ROBERT,WAN,266661410.0,1026.0,24,1988.0,10.0,27.0,,V193721,CPS,1988-10-27,2022-02-05,25,0,0
LEI,HOWARD,869942387.0,1142.0,11,1977.0,6.0,27.0,,D000141,CPS,1977-06-27,2019-02-12,141,0,0
SAMANTHA,JOHNSON,545290875.0,1105.0,63,1977.0,7.0,24.0,,V647470,CPS,1977-07-24,2022-03-06,104,1,0
JING,ABDULLAH,541460889.0,1068.0,41,1993.0,1.0,10.0,,D000067,CPS,1993-01-10,2021-10-17,67,0,0
RAHUL,JOHNSON,264117777.0,1211.0,22,1989.0,6.0,6.0,,D000210,GPS,1989-06-06,2018-12-08,210,0,0
MICHAEL,SMITH,411830789.0,1169.0,23,1972.0,9.0,3.0,,D000168,CPS,1972-09-03,2021-08-06,168,1,0
WEK,HUNT,126323084.0,1084.0,5,1995.0,4.0,4.0,,V275737,GPS,1995-04-04,2018-10-17,83,0,1
KENNY,FLORES,128155161.0,1120.0,25,1990.0,5.0,19.0,,V666167,GPS,1990-05-19,2022-07-05,119,1,0
KIMBERLY,THOMPSON,238200479.0,1121.0,9,1972.0,7.0,11.0,,V794842,CPS,1972-07-11,2021-03-16,120,1,1
JAMES,MILES,408375498.0,1273.0,30,1982.0,3.0,14.0,,D000272,CPS,1982-03-14,2018-12-11,272,0,0
KEISHA,PETERSON,235408610.0,1110.0,23,1965.0,4.0,7.0,,D000109,GPS,1965-04-07,2021-04-17,109,1,1
HUI,HAYNES,422588018.0,1249.0,64,1996.0,1.0,22.0,,D000248,GPS,1996-01-22,2019-09-06,248,0,0
JOHN,SHIN,926914312.0,1146.0,62,1984.0,2.0,19.0,,D000145,GPS,1984-02-19,2018-06-10,145,1,0
JESSICA,RUSSELL,318234567.0,1093.0,59,1963.0,7.0,25.0,,D000092,CPS,1963-07-25,2020-10-26,92,1,1
MARY,ARMSTRONG,233636478.0,1153.0,36,1999.0,12.0,19.0,,D000152,CPS,1999-12-19,2021-06-21,152,0,1
ROBFRT,HOLMES,749450975.0,1213.0,49,1989.0,1.0,13.0,,V888170,CPS,1989-01-13,2022-04-04,212,1,1
MIN,COLLINS,151341724.0,1348.0,58,1984.0,10.0,22.0,,V112685,CPS,1984-10-22,2021-05-14,347,1,1
WEI,HUNT,126323084.0,1084.0,5,1995.0,4.0,4.0,,D000083,GPS,1995-04-04,2018-05-15,83,0,1
LAUREN,MARTINEZ,948360596.0,1246.0,12,1995.0,12.0,17.0,,D000245,GPS,1995-12-17,2021-02-24,245,1,1
HUI,JONES,875691437.0,1166.0,56,1965.0,4.0,27.0,,D000165,CPS,1965-04-27,2022-07-12,165,1,1
JAMES,HERNANDEZ,840948342.0,1164.0,57,1974.0,11.0,8.0,,D000163,GPS,1974-11-08,2018-07-28,163,1,0
MICHAEL,ZHU,620028420.0,1200.0,54,1999.0,1.0,26.0,,D000199,GPS,1999-01-26,2021-05-01,199,0,1
THUY,ROBERTSON,862652456.0,1229.0,46,2003.0,12.0,4.0,,D000228,GPS,2003-12-04,2018-09-03,228,1,1
JAMES,MORALES,200863333.0,1075.0,7,1999.0,11.0,20.0,,D000074,CPS,1999-11-20,2021-07-01,74,0,0
WEI,WIAZ,926940874.0,1115.0,36,2001.0,10.0,9.0,,V234849,GPS,2001-10-09,2018-03-13,114,0,1
